#IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID
25.000 0.994 0.027 -0.101 0.006 2.705 0.005 0.362 1.000
74.000 1.000 0.005 -0.019 0.002 -3.839 0.015 0.092 1.000
42.000 0.995 0.083 -0.063 -0.011 0.381 -0.004 0.080 1.000
26.000 0.997 0.030 -0.067 0.014 2.592 0.050 0.173 1.000
27.000 0.997 0.044 -0.055 0.014 2.463 0.057 0.117 1.000
29.000 0.996 0.062 -0.063 0.021 2.178 0.071 0.142 1.000
81.000 0.999 0.043 -0.010 -0.006 -4.772 0.073 0.157 1.000
30.000 0.996 0.050 -0.071 0.011 2.029 0.034 0.172 1.000
78.000 0.999 0.029 -0.003 -0.016 -4.359 0.159 0.219 1.000
79.000 1.000 0.026 -0.013 -0.013 -4.509 0.144 0.134 1.000
99.000 0.997 0.038 -0.068 0.003 5.936 -0.016 0.169 1.000
47.000 0.993 0.095 -0.066 0.009 -0.237 -0.003 0.008 1.000
31.000 0.995 0.045 -0.085 0.010 1.900 0.021 0.225 1.000
83.000 0.998 0.066 -0.010 -0.003 -5.007 0.030 0.154 1.000
51.000 0.997 0.054 -0.048 -0.002 -0.810 0.018 0.002 1.000
32.000 0.995 0.048 -0.083 0.011 1.809 0.021 0.214 1.000
65.000 0.998 0.060 -0.012 0.004 -2.658 -0.022 0.144 1.000
33.000 0.997 0.051 -0.063 0.005 1.673 0.012 0.142 1.000
36.000 0.996 0.063 -0.068 0.007 1.201 0.021 0.143 1.000
58.000 0.998 0.040 -0.041 -0.022 -1.784 0.083 0.016 1.000
93.000 0.998 0.052 -0.025 -0.021 -6.396 0.293 -0.073 1.000
37.000 0.995 0.056 -0.084 0.009 1.032 0.015 0.179 1.000
43.000 0.993 0.076 -0.088 0.007 0.231 -0.001 0.084 1.000
56.000 0.999 0.027 -0.039 -0.010 -1.476 0.039 0.016 1.000
44.000 0.994 0.085 -0.074 0.011 0.097 0.005 0.056 1.000
45.000 0.993 0.090 -0.072 0.010 -0.013 0.014 0.043 1.000
46.000 0.992 0.091 -0.086 0.013 -0.100 0.007 0.029 1.000
48.000 0.995 0.082 -0.061 -0.002 -0.379 0.015 -0.001 1.000
49.000 0.995 0.064 -0.074 -0.000 -0.526 0.009 -0.021 1.000
50.000 0.997 0.060 -0.048 0.000 -0.667 0.003 0.002 1.000
53.000 0.997 0.058 -0.055 -0.002 -1.026 0.004 -0.023 1.000
54.000 0.998 0.050 -0.047 -0.014 -1.174 0.044 -0.011 1.000
86.000 0.999 0.036 -0.018 0.005 -5.451 -0.033 0.063 1.000
55.000 0.997 0.032 -0.071 -0.004 -1.333 0.018 -0.073 1.000
57.000 0.999 0.027 -0.037 -0.021 -1.626 0.084 0.029 1.000
89.000 0.998 0.055 -0.026 -0.003 -5.813 0.063 -0.035 1.000
59.000 0.998 0.047 -0.027 -0.023 -1.902 0.086 0.065 1.000
91.000 0.997 0.061 -0.043 -0.029 -6.093 0.388 -0.256 1.000
61.000 0.998 0.041 -0.039 -0.012 -2.151 0.057 0.026 1.000
69.000 0.999 0.044 -0.001 0.012 -3.258 -0.055 0.223 1.000
62.000 0.999 0.043 -0.014 -0.005 -2.298 0.028 0.134 1.000
94.000 0.996 0.029 -0.089 0.015 5.773 0.101 0.412 1.000
64.000 0.998 0.056 -0.021 0.004 -2.601 -0.014 0.096 1.000
67.000 0.999 0.046 -0.022 0.011 -2.964 -0.042 0.086 1.000
90.000 0.998 0.066 -0.013 -0.017 -5.960 0.203 0.102 1.000
68.000 0.999 0.042 -0.002 0.016 -3.109 -0.079 0.208 1.000
71.000 0.999 0.051 -0.015 0.003 -3.483 -0.015 0.119 1.000
75.000 1.000 -0.002 -0.002 0.001 -3.917 0.025 0.230 1.000
76.000 1.000 0.002 -0.013 -0.005 -4.068 0.081 0.141 1.000
77.000 1.000 0.016 -0.011 -0.010 -4.218 0.111 0.159 1.000
80.000 0.999 0.030 -0.023 -0.005 -4.662 0.063 0.045 1.000
82.000 0.999 0.052 -0.007 -0.007 -4.855 0.079 0.190 1.000
84.000 0.998 0.067 -0.006 -0.005 -5.149 0.054 0.183 1.000
88.000 0.999 0.044 -0.013 -0.004 -5.659 0.075 0.125 1.000
95.000 0.998 0.046 -0.050 -0.005 6.081 -0.116 -0.059 1.000
98.000 0.997 0.039 -0.070 -0.010 6.219 -0.193 0.195 1.000
100.000 0.997 0.037 -0.067 0.015 5.641 0.116 0.157 1.000
